Iteration,Discriminator Loss,Generator Loss
8560,1.313931,0.782884
8570,1.319215,0.880197
8580,1.213110,0.832429
8590,1.336472,0.678625
8600,1.310328,0.881370
8610,1.292842,0.793046
8620,1.277866,1.131695
8630,1.425010,0.538228
8640,1.299744,0.681275
8650,1.239844,0.682809
8660,1.281245,0.861047
8670,1.261647,0.789588
8680,1.353823,0.974979
8690,1.325360,0.683723
8700,1.255004,0.491887
8710,1.307405,0.741989
8720,1.301257,0.827877
8730,1.464259,0.612052
8740,1.226887,0.654301
8750,1.329009,0.670150
8760,1.337965,0.694587
8770,1.255646,0.685880
8780,1.343123,0.836108
8790,1.227621,0.640226
8800,1.212798,0.648292
8810,1.175761,0.710568
8820,1.209314,0.473596
8830,1.275621,0.798327
8840,1.329327,0.894353
8850,1.431923,0.757956
8860,1.313493,0.630714
8870,1.232815,0.774721
8880,1.337641,0.650416
8890,1.230647,0.711158
8900,1.114709,0.542631
8910,1.331289,0.679674
8920,1.301759,0.602083
8930,1.324108,0.803287
8940,1.173528,0.608442
8950,1.174015,0.785586
8960,1.140189,0.615652
8970,1.275075,0.726852
8980,1.306216,0.706407
8990,1.259537,0.842479
9000,1.298525,0.737007
9010,1.293667,0.777720
9020,1.122086,0.652658
9030,1.285877,0.952156
9040,1.309870,0.535817
9050,1.067118,0.618805
9060,1.304301,0.709346
9070,1.321800,1.113847
9080,1.296098,0.751498
9090,1.309797,0.697733
9100,1.221393,0.724507
9110,1.449033,0.733031
9120,1.211008,0.813511
9130,1.211811,0.648388
9140,1.272156,0.678844
9150,1.425008,0.847847
9160,1.384993,0.534897
9170,1.239364,0.654299
9180,1.309976,0.762000
9190,1.305262,0.484248
9200,1.169653,0.769854
9210,1.465711,0.529382
9220,1.258831,0.659397
9230,1.317590,0.829789
9240,1.199452,0.689310
9250,1.294828,0.800140
9260,1.303972,0.855714
9270,1.128911,0.618748
9280,1.354734,0.811212
9290,1.140321,0.606499
9300,1.187649,0.684792
9310,1.312974,0.744987
9320,1.275158,0.717304
9330,1.121513,0.647006
9340,1.273961,0.594396
9350,1.328907,0.782275
9360,1.318686,0.834532
9370,1.263035,0.726973
9380,1.274319,0.545845
9390,1.326803,0.696197
9400,1.327972,0.690124
9410,1.211051,0.693167
9420,1.308122,0.875119
9430,1.494910,0.411319
9440,1.263664,0.966831
9450,1.308615,0.878872
9460,1.247804,0.656805
9470,1.221567,0.510805
9480,1.302288,0.659635
9490,1.297451,0.733295
9500,1.299279,0.762543
9510,1.110104,0.659279
9520,1.415882,0.716878
